id,date,description,amount,category,status
TXN0064,2024-02-05,Stripe payout,29333.94,Expense,pending
TXN0065,2024-02-05,Client payment,11435.6,Revenue,disputed
TXN0066,2024-02-05,Bank transfer,46106.17,Revenue,completed
TXN0067,2024-02-05,Chase payment,9821.45,Refund,disputed
TXN0068,2024-02-06,Chase payment,35004.81,Payroll,pending
TXN0069,2024-02-07,Credit card charge,11620.94,Transfer,disputed
TXN0070,2024-02-07,Client payment,33759.07,Payroll,completed
TXN0071,2024-02-07,Tax withholding,23906.51,Payroll,completed
TXN0072,2024-02-08,Square deposit,44869.48,Refund,pending
TXN0073,2024-02-09,Subscription fee,34455.75,Tax,pending
TXN0074,2024-02-09,Vendor payment,17393.91,Transfer,disputed
TXN0075,2024-02-09,Vendor payment,17595.02,Revenue,completed
TXN0076,2024-02-09,Subscription fee,24723.18,Expense,pending
TXN0077,2024-02-10,Tax withholding,48837.64,Tax,completed
TXN0078,2024-02-10,Chase payment,5956.19,Expense,disputed
TXN0079,2024-02-10,Square deposit,27523.22,Revenue,completed
TXN0080,2024-02-11,Salary transfer,6446.12,Tax,disputed
TXN0081,2024-02-11,Chase payment,31432.06,Transfer,disputed
TXN0082,2024-02-12,Client payment,42680.78,Refund,completed
TXN0083,2024-02-12,Bank transfer,8254.05,Transfer,pending
TXN0084,2024-02-12,Credit card charge,38259.25,Refund,pending
TXN0085,2024-02-13,Credit card charge,9727.48,Payroll,disputed
TXN0086,2024-02-14,Bank transfer,26839.48,Refund,completed
TXN0087,2024-02-14,Credit card charge,3404.15,Payroll,completed
TXN0088,2024-02-14,Salary transfer,42808.55,Expense,completed
TXN0089,2024-02-14,Bank transfer,28533.37,Payroll,disputed
TXN0090,2024-02-15,Invoice #1042,30162.05,Refund,completed
TXN0091,2024-02-16,Salary transfer,315.75,Refund,disputed
TXN0092,2024-02-16,Tax withholding,49937.13,Tax,pending
TXN0093,2024-02-17,Tax withholding,30521.19,Expense,pending
TXN0094,2024-02-17,Bank transfer,38151.19,Transfer,disputed
TXN0095,2024-02-18,Client payment,47068.44,Expense,completed
TXN0096,2024-02-19,Subscription fee,19760.64,Refund,completed
TXN0097,2024-02-19,Stripe payout,28803.39,Revenue,disputed
TXN0098,2024-02-19,Client payment,39870.14,Transfer,disputed
TXN0099,2024-02-20,Refund processed,35458.44,Refund,disputed
TXN0100,2024-02-20,Square deposit,14698.98,Expense,pending
TXN0101,2024-02-21,Tax withholding,45467.86,Payroll,completed
TXN0102,2024-02-22,Square deposit,43101.15,Tax,completed
TXN0103,2024-02-23,Refund processed,32809.71,Expense,completed
TXN0104,2024-02-24,Tax withholding,48457.14,Payroll,pending
TXN0105,2024-02-24,Credit card charge,21027.87,Revenue,disputed
TXN0106,2024-02-24,Subscription fee,6538.81,Tax,pending
TXN0107,2024-02-25,Subscription fee,7498.7,Transfer,completed
TXN0108,2024-02-26,Refund processed,38206.5,Expense,pending
TXN0109,2024-02-26,Chase payment,6087.51,Tax,pending
TXN0110,2024-02-27,Salary transfer,44444.78,Revenue,disputed
TXN0111,2024-02-27,Refund processed,14789.27,Expense,completed
TXN0112,2024-02-27,Client payment,30097.5,Payroll,pending
TXN0113,2024-02-28,Invoice #1042,32089.52,Tax,pending
TXN0114,2024-02-28,Salary transfer,19074.57,Refund,pending
TXN0115,2024-02-28,Refund processed,49267.09,Tax,disputed
TXN0116,2024-02-28,Square deposit,44716.55,Transfer,pending
TXN0117,2024-02-29,Refund processed,15684.8,Transfer,completed
TXN0118,2024-02-29,Salary transfer,46845.75,Refund,disputed
TXN0119,2024-02-29,Vendor payment,46143.0,Payroll,disputed
TXN0120,2024-03-01,Bank transfer,39337.97,Payroll,disputed
TXN0121,2024-03-01,Stripe payout,27228.99,Transfer,completed
TXN0122,2024-03-02,Vendor payment,40296.72,Transfer,disputed
TXN0123,2024-03-03,Tax withholding,47763.93,Refund,completed
TXN0124,2024-03-04,Square deposit,4757.59,Transfer,disputed
TXN0125,2024-03-05,Bank transfer,35509.36,Revenue,pending
TXN0126,2024-03-05,Chase payment,7899.79,Tax,pending
TXN0127,2024-03-06,Vendor payment,48034.04,Payroll,disputed
TXN0128,2024-03-06,Client payment,5522.25,Payroll,disputed
TXN0129,2024-03-07,Vendor payment,48766.63,Payroll,completed
TXN0130,2024-03-08,Refund processed,42400.95,Payroll,disputed
TXN0131,2024-03-09,Tax withholding,10017.09,Expense,disputed
TXN0132,2024-03-09,Tax withholding,16394.93,Payroll,disputed
TXN0133,2024-03-10,Bank transfer,10514.8,Expense,completed
TXN0134,2024-03-11,Refund processed,16933.3,Refund,disputed
TXN0135,2024-03-11,Invoice #1042,44520.93,Revenue,completed
TXN0136,2024-03-11,Chase payment,45015.37,Refund,pending
TXN0137,2024-03-12,Vendor payment,43600.92,Tax,disputed
TXN0138,2024-03-12,Tax withholding,28044.54,Payroll,pending
TXN0139,2024-03-12,Tax withholding,8661.57,Refund,disputed
TXN0140,2024-03-13,Invoice #1042,5700.43,Revenue,completed
TXN0141,2024-03-14,Salary transfer,1552.52,Refund,completed
TXN0142,2024-03-14,Subscription fee,38252.83,Revenue,pending
TXN0143,2024-03-14,Stripe payout,13450.61,Transfer,pending
TXN0144,2024-03-15,Subscription fee,33051.97,Revenue,completed
TXN0145,2024-03-16,Refund processed,37621.99,Refund,pending
TXN0146,2024-03-16,Tax withholding,18819.16,Revenue,completed
TXN0147,2024-03-16,Bank transfer,3185.48,Revenue,pending
TXN0148,2024-03-17,Salary transfer,41416.32,Payroll,pending
TXN0149,2024-03-17,Invoice #1042,43111.99,Refund,pending
TXN0150,2024-03-18,Refund processed,30809.88,Payroll,disputed
TXN0151,2024-03-19,Chase payment,13867.3,Transfer,pending
TXN0152,2024-03-19,Bank transfer,18977.75,Refund,disputed
TXN0153,2024-03-20,Bank transfer,11448.66,Transfer,pending
TXN0154,2024-03-21,Client payment,39001.94,Refund,completed
TXN0155,2024-03-22,Vendor payment,36167.39,Tax,pending
TXN0156,2024-03-22,Stripe payout,24956.42,Refund,completed
TXN0157,2024-03-23,Client payment,37972.92,Payroll,disputed
TXN0158,2024-03-23,Stripe payout,46070.17,Refund,disputed
TXN0159,2024-03-23,Invoice #1042,47455.5,Payroll,completed
TXN0160,2024-03-23,Tax withholding,40821.67,Revenue,disputed
TXN0161,2024-03-24,Vendor payment,5043.35,Expense,completed
TXN0162,2024-03-24,Stripe payout,24042.49,Tax,completed
TXN0163,2024-03-24,Chase payment,28533.73,Expense,disputed
TXN0164,2024-03-25,Bank transfer,38632.54,Refund,disputed
TXN0165,2024-03-25,Subscription fee,14223.49,Revenue,disputed
TXN0166,2024-03-26,Client payment,37735.26,Transfer,pending
TXN0167,2024-03-26,Stripe payout,1674.57,Revenue,completed
TXN0168,2024-03-27,Square deposit,33785.7,Payroll,pending
TXN0169,2024-03-27,Vendor payment,35966.12,Payroll,completed
TXN0170,2024-03-28,Square deposit,32595.31,Payroll,completed
TXN0171,2024-03-29,Chase payment,29979.49,Transfer,pending
TXN0172,2024-03-29,Vendor payment,33947.41,Refund,pending
TXN0173,2024-03-30,Credit card charge,36922.51,Refund,disputed
TXN0174,2024-03-31,Client payment,32466.69,Tax,completed
TXN0175,2024-03-31,Credit card charge,1852.08,Refund,pending
TXN0176,2024-04-01,Tax withholding,30151.65,Revenue,disputed
TXN0177,2024-04-01,Chase payment,14257.78,Expense,completed
TXN0178,2024-04-02,Chase payment,2816.81,Transfer,completed
TXN0179,2024-04-03,Square deposit,16139.09,Transfer,pending
TXN0180,2024-04-03,Stripe payout,49979.52,Transfer,disputed
TXN0181,2024-04-04,Vendor payment,6441.58,Revenue,completed
TXN0182,2024-04-04,Salary transfer,37440.68,Payroll,disputed
TXN0183,2024-04-05,Tax withholding,19986.13,Refund,completed
TXN0184,2024-04-06,Bank transfer,35160.83,Refund,disputed
TXN0185,2024-04-06,Bank transfer,30296.87,Expense,pending
TXN0186,2024-04-07,Vendor payment,42562.67,Payroll,pending
TXN0187,2024-04-08,Refund processed,35248.37,Expense,completed
TXN0188,2024-04-08,Invoice #1042,1576.59,Tax,completed
TXN0189,2024-04-09,Invoice #1042,1533.31,Payroll,completed
TXN0190,2024-04-09,Credit card charge,33880.92,Transfer,completed
TXN0191,2024-04-09,Refund processed,12183.71,Tax,disputed
TXN0192,2024-04-10,Refund processed,44374.66,Revenue,disputed
TXN0193,2024-04-10,Stripe payout,26679.0,Transfer,completed
TXN0194,2024-04-10,Credit card charge,42935.93,Revenue,pending
TXN0195,2024-04-11,Invoice #1042,49063.76,Expense,disputed
TXN0196,2024-04-11,Chase payment,43885.61,Payroll,completed
TXN0197,2024-04-12,Chase payment,22794.65,Refund,disputed
TXN0198,2024-04-12,Chase payment,27625.47,Refund,completed
TXN0199,2024-04-12,Client payment,25359.06,Transfer,pending
TXN0200,2024-04-13,Bank transfer,43869.76,Transfer,pending
TXN0201,2024-04-14,Square deposit,27093.04,Revenue,completed
TXN0202,2024-04-15,Refund processed,26646.07,Revenue,disputed
TXN0203,2024-04-16,Salary transfer,12919.33,Revenue,pending
TXN0204,2024-04-17,Vendor payment,35415.42,Refund,pending
TXN0205,2024-04-17,Salary transfer,22268.12,Transfer,pending
TXN0206,2024-04-18,Refund processed,19704.75,Revenue,pending
TXN0207,2024-04-19,Invoice #1042,45551.16,Refund,disputed
TXN0208,2024-04-19,Subscription fee,49204.21,Expense,pending
TXN0209,2024-04-20,Vendor payment,12896.91,Tax,disputed
TXN0210,2024-04-20,Subscription fee,24312.85,Expense,disputed
TXN0211,2024-04-20,Stripe payout,39692.16,Expense,disputed
TXN0212,2024-04-21,Bank transfer,18419.6,Tax,disputed
TXN0213,2024-04-22,Vendor payment,17264.38,Refund,pending
TXN0214,2024-04-22,Invoice #1042,225.65,Expense,completed
TXN0215,2024-04-23,Stripe payout,11655.32,Revenue,pending
TXN0216,2024-04-23,Subscription fee,6350.53,Refund,completed
TXN0217,2024-04-23,Tax withholding,3391.43,Tax,completed
TXN0218,2024-04-24,Subscription fee,5268.43,Payroll,pending
TXN0219,2024-04-25,Invoice #1042,20360.81,Revenue,disputed
TXN0220,2024-04-25,Chase payment,37797.24,Transfer,disputed
TXN0221,2024-04-26,Square deposit,48114.52,Refund,disputed
TXN0222,2024-04-26,Tax withholding,25464.55,Payroll,pending
TXN0223,2024-04-26,Subscription fee,29012.2,Payroll,disputed
TXN0224,2024-04-27,Subscription fee,34054.84,Tax,completed
TXN0225,2024-04-27,Stripe payout,13439.24,Expense,disputed
TXN0226,2024-04-28,Tax withholding,31700.11,Transfer,completed
TXN0227,2024-04-29,Chase payment,46148.68,Payroll,pending
TXN0228,2024-04-30,Chase payment,12128.2,Refund,disputed
TXN0229,2024-04-30,Stripe payout,34887.41,Transfer,pending
TXN0230,2024-04-30,Vendor payment,38472.13,Revenue,disputed
TXN0231,2024-04-30,Vendor payment,15818.06,Payroll,completed
TXN0232,2024-04-30,Credit card charge,14127.2,Tax,disputed
TXN0233,2024-05-01,Stripe payout,16435.28,Tax,pending
TXN0234,2024-05-01,Stripe payout,16489.94,Refund,pending
TXN0235,2024-05-01,Chase payment,29226.52,Expense,pending
TXN0236,2024-05-02,Refund processed,33495.47,Transfer,pending
TXN0237,2024-05-02,Vendor payment,21788.36,Refund,pending
TXN0238,2024-05-02,Salary transfer,29238.9,Refund,disputed
TXN0239,2024-05-03,Chase payment,25836.43,Expense,disputed
TXN0240,2024-05-03,Client payment,25242.74,Payroll,pending
TXN0241,2024-05-03,Vendor payment,27457.65,Payroll,completed
TXN0242,2024-05-04,Chase payment,38057.65,Expense,completed
TXN0243,2024-05-05,Refund processed,24806.76,Expense,pending
TXN0244,2024-05-06,Invoice #1042,49975.92,Refund,pending
TXN0245,2024-05-07,Chase payment,15673.07,Refund,completed
TXN0246,2024-05-07,Refund processed,4606.09,Revenue,completed
TXN0247,2024-05-08,Invoice #1042,45218.05,Refund,pending
TXN0248,2024-05-09,Credit card charge,39006.31,Payroll,disputed
TXN0249,2024-05-09,Bank transfer,28782.48,Expense,pending
TXN0250,2024-05-10,Salary transfer,48470.15,Payroll,pending
TXN0251,2024-05-11,Credit card charge,39848.33,Expense,completed
TXN0252,2024-05-11,Salary transfer,45892.14,Transfer,disputed
TXN0253,2024-05-12,Client payment,11338.02,Expense,disputed
TXN0254,2024-05-12,Invoice #1042,31125.55,Transfer,disputed
TXN0255,2024-05-13,Invoice #1042,5753.26,Refund,disputed
TXN0256,2024-05-13,Invoice #1042,27961.66,Expense,disputed
TXN0257,2024-05-14,Chase payment,21027.72,Refund,pending
TXN0258,2024-05-14,Stripe payout,1034.3,Revenue,disputed
TXN0259,2024-05-15,Square deposit,26289.02,Payroll,completed
TXN0260,2024-05-15,Tax withholding,17730.11,Expense,pending
TXN0261,2024-05-15,Bank transfer,33913.01,Payroll,pending
TXN0262,2024-05-16,Credit card charge,9350.29,Refund,disputed
TXN0263,2024-05-16,Invoice #1042,34050.41,Transfer,pending
TXN0264,2024-05-17,Stripe payout,13367.04,Transfer,pending
TXN0265,2024-05-17,Chase payment,43252.62,Tax,completed
TXN0266,2024-05-18,Invoice #1042,44653.98,Payroll,pending
TXN0267,2024-05-18,Stripe payout,44831.7,Payroll,disputed
TXN0268,2024-05-19,Square deposit,47258.82,Tax,completed
TXN0269,2024-05-19,Refund processed,16939.66,Refund,disputed
TXN0270,2024-05-20,Salary transfer,37366.76,Transfer,disputed
TXN0271,2024-05-21,Vendor payment,27218.11,Revenue,disputed
TXN0272,2024-05-21,Tax withholding,17767.4,Tax,disputed
TXN0273,2024-05-22,Invoice #1042,47282.38,Refund,completed
TXN0274,2024-05-22,Vendor payment,21450.98,Refund,pending
TXN0275,2024-05-22,Chase payment,42406.87,Transfer,pending
TXN0276,2024-05-22,Stripe payout,12629.92,Expense,disputed
TXN0277,2024-05-22,Invoice #1042,21922.79,Tax,completed
TXN0278,2024-05-23,Vendor payment,4506.11,Transfer,disputed
TXN0279,2024-05-24,Subscription fee,47771.74,Expense,disputed
TXN0280,2024-05-24,Stripe payout,11611.93,Tax,disputed
TXN0281,2024-05-24,Credit card charge,25887.55,Revenue,completed
TXN0282,2024-05-25,Client payment,12587.9,Payroll,pending
TXN0283,2024-05-25,Subscription fee,7436.05,Revenue,pending
TXN0284,2024-05-26,Square deposit,17983.05,Tax,pending
TXN0285,2024-05-27,Invoice #1042,29716.65,Expense,pending
TXN0286,2024-05-27,Refund processed,28447.33,Revenue,completed
TXN0287,2024-05-27,Client payment,43505.81,Transfer,completed
TXN0288,2024-05-27,Bank transfer,22383.19,Payroll,completed
TXN0289,2024-05-28,Subscription fee,38608.75,Payroll,pending
TXN0290,2024-05-29,Stripe payout,6274.46,Revenue,disputed
TXN0291,2024-05-29,Refund processed,44686.32,Revenue,disputed
TXN0292,2024-05-30,Refund processed,37639.51,Transfer,completed
TXN0293,2024-05-31,Chase payment,22650.44,Expense,completed
TXN0294,2024-05-31,Salary transfer,13936.46,Refund,pending
TXN0295,2024-05-31,Stripe payout,6915.34,Refund,pending
TXN0296,2024-06-01,Subscription fee,45650.18,Transfer,disputed
TXN0297,2024-06-01,Salary transfer,10708.99,Payroll,completed
TXN0298,2024-06-02,Salary transfer,32506.51,Transfer,disputed
TXN0299,2024-06-02,Subscription fee,47058.65,Transfer,pending
TXN0300,2024-06-03,Bank transfer,7577.24,Refund,disputed
TXN0301,2024-06-04,Subscription fee,9995.91,Refund,disputed
TXN0302,2024-06-05,Chase payment,39974.63,Transfer,pending
TXN0303,2024-06-05,Salary transfer,37293.7,Payroll,completed
TXN0304,2024-06-06,Bank transfer,13521.0,Expense,pending
TXN0305,2024-06-07,Bank transfer,48681.26,Payroll,pending
TXN0306,2024-06-07,Salary transfer,27079.82,Revenue,disputed
TXN0307,2024-06-07,Bank transfer,37124.99,Revenue,disputed
TXN0308,2024-06-08,Stripe payout,34803.92,Revenue,disputed
TXN0309,2024-06-09,Chase payment,33254.23,Expense,disputed
TXN0310,2024-06-09,Stripe payout,143.52,Refund,pending
TXN0311,2024-06-09,Vendor payment,38252.84,Tax,disputed
TXN0312,2024-06-10,Tax withholding,22508.79,Refund,completed
TXN0313,2024-06-10,Subscription fee,36447.07,Transfer,completed
TXN0314,2024-06-11,Tax withholding,49135.77,Tax,disputed
TXN0315,2024-06-11,Vendor payment,7227.99,Transfer,pending
TXN0316,2024-06-12,Tax withholding,37333.17,Revenue,disputed
TXN0317,2024-06-13,Client payment,30622.07,Revenue,pending
TXN0318,2024-06-13,Refund processed,5786.66,Revenue,pending
TXN0319,2024-06-14,Subscription fee,6365.09,Transfer,disputed
TXN0320,2024-06-15,Vendor payment,14295.96,Payroll,disputed
TXN0321,2024-06-15,Subscription fee,14680.12,Transfer,pending
TXN0322,2024-06-16,Invoice #1042,40642.7,Transfer,pending
TXN0323,2024-06-16,Refund processed,33915.26,Transfer,pending
TXN0324,2024-06-16,Chase payment,33524.26,Refund,completed
TXN0325,2024-06-16,Chase payment,19312.54,Revenue,completed
TXN0326,2024-06-17,Vendor payment,21813.18,Refund,disputed
TXN0327,2024-06-18,Credit card charge,39323.77,Transfer,disputed
TXN0328,2024-06-19,Refund processed,42564.72,Payroll,pending
TXN0329,2024-06-19,Stripe payout,22354.15,Tax,pending
TXN0330,2024-06-20,Client payment,45413.31,Expense,pending
TXN0331,2024-06-20,Stripe payout,42982.03,Revenue,disputed
TXN0332,2024-06-21,Invoice #1042,32442.33,Expense,pending
TXN0333,2024-06-21,Refund processed,7765.01,Expense,disputed
TXN0334,2024-06-22,Bank transfer,8818.91,Transfer,pending
TXN0335,2024-06-23,Client payment,36882.1,Refund,pending
TXN0336,2024-06-23,Invoice #1042,42649.02,Transfer,pending
TXN0337,2024-06-23,Tax withholding,23131.06,Revenue,pending
TXN0338,2024-06-23,Vendor payment,13105.35,Tax,disputed
TXN0339,2024-06-24,Refund processed,5110.68,Payroll,disputed
TXN0340,2024-06-24,Salary transfer,20964.0,Expense,pending
TXN0341,2024-06-25,Square deposit,42199.55,Payroll,completed
TXN0342,2024-06-25,Stripe payout,44116.8,Transfer,disputed
TXN0343,2024-06-25,Refund processed,8500.09,Tax,completed
TXN0344,2024-06-26,Invoice #1042,33617.61,Expense,disputed
TXN0345,2024-06-26,Bank transfer,11455.7,Revenue,completed
TXN0346,2024-06-27,Square deposit,29127.51,Transfer,disputed
TXN0347,2024-06-27,Refund processed,499.94,Tax,completed
TXN0348,2024-06-28,Credit card charge,1252.41,Revenue,pending
TXN0349,2024-06-28,Stripe payout,18966.12,Payroll,completed
TXN0350,2024-06-29,Subscription fee,4488.47,Revenue,completed
TXN0351,2024-06-29,Chase payment,37066.95,Payroll,completed
TXN0352,2024-06-30,Bank transfer,24296.31,Transfer,pending
TXN0353,2024-06-30,Refund processed,4062.3,Transfer,pending
TXN0354,2024-07-01,Invoice #1042,27400.45,Transfer,pending
TXN0355,2024-07-02,Client payment,32724.19,Refund,completed
TXN0356,2024-07-02,Credit card charge,43424.51,Expense,pending
TXN0357,2024-07-03,Subscription fee,35230.81,Refund,completed
TXN0358,2024-07-04,Refund processed,44810.81,Revenue,disputed
TXN0359,2024-07-05,Client payment,23979.99,Revenue,completed
TXN0360,2024-07-05,Vendor payment,7069.84,Payroll,pending
TXN0361,2024-07-05,Salary transfer,18972.52,Tax,completed
TXN0362,2024-07-06,Bank transfer,30068.13,Refund,completed
TXN0363,2024-07-06,Square deposit,45836.44,Payroll,pending
TXN0364,2024-07-07,Tax withholding,6228.71,Payroll,disputed
TXN0365,2024-07-07,Chase payment,24568.8,Expense,disputed
TXN0366,2024-07-08,Stripe payout,24801.22,Tax,completed
TXN0367,2024-07-08,Refund processed,9045.66,Refund,disputed
TXN0368,2024-07-09,Refund processed,44697.04,Revenue,pending
TXN0369,2024-07-09,Tax withholding,47899.11,Transfer,pending
TXN0370,2024-07-10,Subscription fee,20820.98,Transfer,completed
TXN0371,2024-07-11,Tax withholding,29095.7,Payroll,disputed
TXN0372,2024-07-12,Credit card charge,31372.97,Revenue,completed
TXN0373,2024-07-12,Credit card charge,19443.08,Refund,disputed
TXN0374,2024-07-12,Credit card charge,41776.96,Refund,disputed
TXN0375,2024-07-13,Client payment,24437.55,Refund,completed
TXN0376,2024-07-14,Bank transfer,1706.6,Revenue,completed
TXN0377,2024-07-14,Vendor payment,42609.74,Expense,disputed
TXN0378,2024-07-15,Bank transfer,34522.72,Payroll,disputed
TXN0379,2024-07-15,Subscription fee,16660.46,Payroll,completed
TXN0380,2024-07-16,Tax withholding,4828.44,Transfer,pending
TXN0381,2024-07-16,Credit card charge,15690.65,Transfer,disputed
TXN0382,2024-07-17,Refund processed,15769.87,Payroll,pending
TXN0383,2024-07-17,Tax withholding,19131.8,Transfer,disputed
TXN0384,2024-07-17,Square deposit,17764.59,Tax,completed
TXN0385,2024-07-18,Chase payment,22481.61,Refund,completed
TXN0386,2024-07-19,Credit card charge,2435.37,Refund,completed
TXN0387,2024-07-19,Client payment,34860.78,Revenue,pending
TXN0388,2024-07-19,Refund processed,4945.51,Revenue,disputed
TXN0389,2024-07-19,Salary transfer,15009.01,Tax,disputed
TXN0390,2024-07-19,Stripe payout,48977.75,Refund,disputed
TXN0391,2024-07-20,Salary transfer,6963.94,Refund,pending
TXN0392,2024-07-20,Tax withholding,48913.06,Revenue,disputed
TXN0393,2024-07-21,Vendor payment,46025.49,Expense,pending
TXN0394,2024-07-22,Client payment,44705.78,Transfer,pending
TXN0395,2024-07-22,Subscription fee,33783.64,Revenue,completed
TXN0396,2024-07-23,Chase payment,34169.4,Expense,disputed
TXN0397,2024-07-23,Salary transfer,42868.0,Tax,pending
TXN0398,2024-07-23,Invoice #1042,49470.57,Payroll,completed
TXN0399,2024-07-24,Invoice #1042,22906.89,Expense,disputed
TXN0400,2024-07-25,Square deposit,32276.46,Tax,pending
TXN0401,2024-07-25,Client payment,5135.28,Payroll,pending
TXN0402,2024-07-25,Tax withholding,28906.11,Refund,pending
TXN0403,2024-07-26,Client payment,37257.34,Tax,disputed
TXN0404,2024-07-27,Credit card charge,31248.35,Revenue,completed
TXN0405,2024-07-27,Stripe payout,12110.62,Revenue,completed
TXN0406,2024-07-28,Square deposit,38752.12,Transfer,disputed
TXN0407,2024-07-28,Bank transfer,19002.7,Revenue,completed
TXN0408,2024-07-28,Chase payment,10978.11,Tax,disputed
TXN0409,2024-07-28,Square deposit,5293.92,Tax,disputed
TXN0410,2024-07-29,Credit card charge,48276.97,Expense,disputed
TXN0411,2024-07-29,Subscription fee,28097.13,Payroll,completed
TXN0412,2024-07-30,Stripe payout,26412.44,Transfer,disputed
TXN0413,2024-07-31,Credit card charge,11355.56,Payroll,completed
TXN0414,2024-07-31,Client payment,19991.74,Payroll,disputed
TXN0415,2024-08-01,Tax withholding,22570.07,Revenue,completed
TXN0416,2024-08-02,Client payment,4503.92,Revenue,pending
TXN0417,2024-08-02,Chase payment,39251.4,Revenue,completed
TXN0418,2024-08-03,Invoice #1042,29693.16,Payroll,disputed
TXN0419,2024-08-03,Salary transfer,3787.66,Transfer,completed
TXN0420,2024-08-04,Salary transfer,4571.95,Payroll,pending
TXN0421,2024-08-04,Vendor payment,49854.62,Expense,completed
TXN0422,2024-08-04,Chase payment,48973.33,Tax,disputed
TXN0423,2024-08-05,Vendor payment,240.97,Payroll,completed
TXN0424,2024-08-06,Stripe payout,9100.24,Tax,completed
TXN0425,2024-08-06,Stripe payout,29993.42,Transfer,pending
TXN0426,2024-08-06,Vendor payment,37571.37,Payroll,completed
TXN0427,2024-08-06,Vendor payment,46597.79,Transfer,disputed
TXN0428,2024-08-06,Subscription fee,15360.27,Revenue,disputed
TXN0429,2024-08-07,Salary transfer,5404.04,Payroll,disputed
